Post Office,Place 1,Place 2,Distance (in km)
Quezon City,University of the Philippines Diliman Diliman Quezon City Metro Manila,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,7.4
Quezon City,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,13.5
Quezon City,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,9.4
Quezon City,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,13.7
Quezon City,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,1
Quezon City,Ateneo de Manila University Katipunan Ave Quezon City 1108 Metro Manila,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,9.3
Quezon City,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,16.9
Quezon City,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,7.1
Quezon City,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,11.2
Quezon City,UERM Memorial Hospital 64 Aurora Blvd Doña Imelda Quezon City Metro Manila,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,12.1
Quezon City,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,16.5
Quezon City,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,10.8
Quezon City,Polytechnic University Of The Philippines Quezon City Branch Don Fabian Quezon City 1121 Metro Manila,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,14
Quezon City,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,15.7
Quezon City,Grace Christian College Grace Ave Balintawak Quezon City Metro Manila,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,5.6
Quezon City,Miriam College Higher Education Unit Quezon City 1108 Metro Manila,AMA Computer University Inc. Maximina St. Villa Arca Subd. Proj. 8 Quezon City,11.5
Makati City,Makati City Post Office,Assumption College 26 San Lorenzo Dr Makati 1223 Metro Manila,2.3
Makati City,Makati City Post Office,iAcademy Plaza 324 Sen. Gil J. Puyat Ave Makati Metro Manila,1.1
Makati City,Makati City Post Office,Mapúa University Makati 333 Sen. Gil J. Puyat Ave Makati 1200 Metro Manila,1.7
Makati City,Makati City Post Office,Asian Institute of Management 123 Paseo de Roxas Legazpi Village Makati 1229 Metro Manila,1.4
Makati City,Makati City Post Office,Centro Escolar University Makati Campus 259 Sen Gil Puyat Makati 1203 Metro Manila,0.75
Makati City,Assumption College 26 San Lorenzo Dr Makati 1223 Metro Manila,iAcademy Plaza 324 Sen. Gil J. Puyat Ave Makati Metro Manila,2.6
Makati City,Assumption College 26 San Lorenzo Dr Makati 1223 Metro Manila,Mapúa University Makati 333 Sen. Gil J. Puyat Ave Makati 1200 Metro Manila,2.4
Makati City,Assumption College 26 San Lorenzo Dr Makati 1223 Metro Manila,Asian Institute of Management 123 Paseo de Roxas Legazpi Village Makati 1229 Metro Manila,0.9
Makati City,Assumption College 26 San Lorenzo Dr Makati 1223 Metro Manila,Centro Escolar University Makati Campus 259 Sen Gil Puyat Makati 1203 Metro Manila,3.8
Makati City,iAcademy Plaza 324 Sen. Gil J. Puyat Ave Makati Metro Manila,Mapúa University Makati 333 Sen. Gil J. Puyat Ave Makati 1200 Metro Manila,0.65
Makati City,iAcademy Plaza 324 Sen. Gil J. Puyat Ave Makati Metro Manila,Asian Institute of Management 123 Paseo de Roxas Legazpi Village Makati 1229 Metro Manila,1.4
Makati City,iAcademy Plaza 324 Sen. Gil J. Puyat Ave Makati Metro Manila,Centro Escolar University Makati Campus 259 Sen Gil Puyat Makati 1203 Metro Manila,1.2
Makati City,Mapúa University Makati 333 Sen. Gil J. Puyat Ave Makati 1200 Metro Manila,Asian Institute of Management 123 Paseo de Roxas Legazpi Village Makati 1229 Metro Manila,1.6
Makati City,Mapúa University Makati 333 Sen. Gil J. Puyat Ave Makati 1200 Metro Manila,Centro Escolar University Makati Campus 259 Sen Gil Puyat Makati 1203 Metro Manila,1.3
Makati City,Asian Institute of Management 123 Paseo de Roxas Legazpi Village Makati 1229 Metro Manila,Centro Escolar University Makati Campus 259 Sen Gil Puyat Makati 1203 Metro Manila,1.7
Pasay City,Pasay City Post Office,Asian Institute of Maritime Studies Pasay Metro Manila,0.9
Pasay City,Pasay City Post Office,Arellano University School of Law Pasay City 1306 Metro Manila,1.8
Pasay City,Pasay City Post Office,Datamex Institute Of Computer Technology Taft Ave. Pasay City 1300,2.1
Pasay City,Pasay City Post Office,Manila Tytana Colleges Toastmasters Club MTC Multi-Purpose Hall A Pres Diosdado Macapagal Boulevard Metropolitan Park Pasay 1300 Metro Manila,2.9
Pasay City,Pasay City Post Office,Manila Adventist College 1975 San Juan Pasay 1300 Kalakhang Maynila,1.4
Pasay City,Asian Institute of Maritime Studies Pasay Metro Manila,Arellano University School of Law Pasay City 1306 Metro Manila,2.4
Pasay City,Asian Institute of Maritime Studies Pasay Metro Manila,Datamex Institute Of Computer Technology Taft Ave. Pasay City 1300,2
Pasay City,Asian Institute of Maritime Studies Pasay Metro Manila,Manila Tytana Colleges Toastmasters Club MTC Multi-Purpose Hall A Pres Diosdado Macapagal Boulevard Metropolitan Park Pasay 1300 Metro Manila,3.1
Pasay City,Asian Institute of Maritime Studies Pasay Metro Manila,Manila Adventist College 1975 San Juan Pasay 1300 Kalakhang Maynila,1.8
Pasay City,Arellano University School of Law Pasay City 1306 Metro Manila,Datamex Institute Of Computer Technology Taft Ave. Pasay City 1300,0.16
Pasay City,Arellano University School of Law Pasay City 1306 Metro Manila,Manila Tytana Colleges Toastmasters Club MTC Multi-Purpose Hall A Pres Diosdado Macapagal Boulevard Metropolitan Park Pasay 1300 Metro Manila,3.3
Pasay City,Arellano University School of Law Pasay City 1306 Metro Manila,Manila Adventist College 1975 San Juan Pasay 1300 Kalakhang Maynila,0.65
Pasay City,Datamex Institute Of Computer Technology Taft Ave. Pasay City 1300,Manila Tytana Colleges Toastmasters Club MTC Multi-Purpose Hall A Pres Diosdado Macapagal Boulevard Metropolitan Park Pasay 1300 Metro Manila,3.2
Pasay City,Datamex Institute Of Computer Technology Taft Ave. Pasay City 1300,Manila Adventist College 1975 San Juan Pasay 1300 Kalakhang Maynila,0.5
Pasay City,Manila Tytana Colleges Toastmasters Club MTC Multi-Purpose Hall A Pres Diosdado Macapagal Boulevard Metropolitan Park Pasay 1300 Metro Manila,Manila Adventist College 1975 San Juan Pasay 1300 Kalakhang Maynila,3.1
